Tiempo (ms),Amplitud (dBm)
0.0,-41.55028533935547
0.0001034147552172744,-39.811702728271484
0.0002068295104345488,-39.910892486572266
0.00031024426565182323,-39.58576583862305
0.0004136590208690976,-42.689720153808594
0.000517073776086372,-38.7580680847168
0.0006204885313036465,-42.519386291503906
0.0007239032865209208,-38.82667541503906
0.0008273180417381952,-38.53998565673828
0.0009307327969554697,-37.3359489440918
0.001034147552172744,-41.55028533935547
0.0011375623073900186,-38.53998565673828
0.001240977062607293,-38.665470123291016
0.0013443918178245673,-38.89236831665039
0.0014478065730418417,-41.354331970214844
0.0015512213282591163,-41.84810256958008
0.0016546360834763904,-40.09809875488281
0.0017580508386936648,-37.949676513671875
0.0018614655939109394,-40.98710250854492
0.0019648803491282138,-40.050537109375
0.002068295104345488,-39.21348190307617
0.0021717098595627625,-39.426361083984375
0.002275124614780037,-40.371639251708984
0.0023785393699973117,-39.14863586425781
0.002481954125214586,-41.03385925292969
0.00258536888043186,-41.55028533935547
0.0026887836356491346,-39.46009063720703
0.0027921983908664088,-39.910892486572266
0.0028956131460836834,-38.669517517089844
0.002999027901300958,-41.55028533935547
0.0031024426565182325,-39.124237060546875
0.0032058574117355067,-40.27094650268555
0.003309272166952781,-41.46172332763672
0.0034126869221700554,-36.72043991088867
0.0035161016773873296,-38.862632751464844
0.003619516432604604,-41.997982025146484
0.0037229311878218788,-41.82612228393555
0.003826345943039153,-39.124237060546875
0.0039297606982564275,-38.99088668823242
0.004033175453473702,-35.75957489013672
0.004136590208690976,-37.3613395690918
0.004240004963908251,-41.55028533935547
0.004343419719125525,-40.648521423339844
0.004446834474342799,-42.122779846191406
0.004550249229560074,-42.14419937133789
0.004653663984777348,-39.14863586425781
0.004757078739994623,-39.40049362182617
0.004860493495211897,-40.98710250854492
0.004963908250429172,-44.36463165283203
0.005067323005646446,-41.064552307128906
0.00517073776086372,-41.55028533935547
0.005274152516080995,-41.03385925292969
0.005377567271298269,-41.6757698059082
0.005480982026515544,-41.10609436035156
0.0055843967817328175,-40.385231018066406
0.005687811536950093,-41.6757698059082
0.005791226292167367,-42.77470016479492
0.00589464104738464,-42.519386291503906
0.005998055802601916,-41.82612228393555
0.00610147055781919,-38.769874572753906
0.006204885313036465,-40.98710250854492
0.006308300068253739,-41.55028533935547
0.006411714823471013,-39.203773498535156
0.006515129578688288,-40.98710250854492
0.006618544333905562,-38.669517517089844
0.006721959089122836,-41.354331970214844
0.006825373844340111,-43.65882110595703
0.0069287885995573855,-39.46009063720703
0.007032203354774659,-41.67981719970703
0.007135618109991935,-40.92359924316406
0.007239032865209208,-42.068260192871094
0.007342447620426483,-41.55028533935547
0.0074458623756437576,-40.59457015991211
0.007549277130861031,-40.008995056152344
0.007652691886078306,-40.541282653808594
0.00775610664129558,-42.43666076660156
0.007859521396512855,-39.58576583862305
0.00796293615173013,-40.05889129638672
0.008066350906947404,-41.10609436035156
0.008169765662164678,-42.689720153808594
0.008273180417381952,-41.793724060058594
0.008376595172599227,-40.648521423339844
0.008480009927816503,-41.001747131347656
0.008583424683033776,-38.669517517089844
0.00868683943825105,-39.25839614868164
0.008790254193468324,-42.519386291503906
0.008893668948685598,-41.5986442565918
0.008997083703902875,-41.20382308959961
0.009100498459120148,-42.244483947753906
0.009203913214337422,-42.43666076660156
0.009307327969554696,-37.58427047729492
0.009410742724771971,-40.19769287109375
0.009514157479989247,-39.426361083984375
0.00961757223520652,-41.064552307128906
0.009720986990423794,-40.55449676513672
0.009824401745641068,-39.426361083984375
0.009927816500858343,-39.07741165161133
0.010031231256075617,-38.665470123291016
0.010134646011292893,-43.405975341796875
0.010238060766510166,-40.18552017211914
0.01034147552172744,-38.53998565673828
0.010444890276944716,-41.55028533935547
0.01054830503216199,-40.05889129638672
0.010651719787379265,-37.36433792114258
0.010755134542596538,-40.557621002197266
0.010858549297813814,-39.46009063720703
0.010961964053031088,-41.617618560791016
0.011065378808248361,-39.61646270751953
0.011168793563465635,-38.76890182495117
0.01127220831868291,-39.77821350097656
0.011375623073900186,-38.862632751464844
0.01147903782911746,-41.04619216918945
0.011582452584334733,-38.99088668823242
0.011685867339552007,-39.46009063720703
0.01178928209476928,-40.18552017211914
0.011892696849986558,-40.264408111572266
0.011996111605203832,-40.13699722290039
0.012099526360421105,-42.689720153808594
0.01220294111563838,-39.46009063720703
0.012306355870855655,-40.008995056152344
0.01240977062607293,-42.43666076660156
0.012513185381290204,-42.43666076660156
0.012616600136507478,-40.385231018066406
0.012720014891724751,-40.385231018066406
0.012823429646942027,-40.84526062011719
0.0129268444021593,-42.997947692871094
0.013030259157376576,-39.52921676635742
0.01313367391259385,-41.617618560791016
0.013237088667811123,-40.59457015991211
0.013340503423028399,-40.008995056152344
